SMILES,Name,IC50 (nM)
Fc1cc(Cl)cc(CN(C(=O)Cc2noc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 49",839.0
Fc1cc(Cl)cc(CN(C(=O)CC2NC(=O)c3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 50",30840.0
NC(=O)c1ccc(cc1)N(Cc1cc(F)cc(F)c1)C(=O)Cc1cncc2ccccc12,"US20240293380, Compound 51",100.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cccnn2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 52",389.0
COc1ccc(F)cc1CN(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)-c1c[nH]cn1,"US20240293380, Compound 53",179.0
COc1cc(F)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 54",90.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cnccn2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 55",2038.0
Fc1cc(F)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2=CCNC2)c1,"US20240293380, Compound 56",139.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2=CCNC2)c1,"US20240293380, Compound 57",81.0
Fc1cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)ccc1Cl,"US20240293380, Compound 58",1087.0
Fc1cc(Cl)cc(CN(C(=O)CC2C(=O)Nc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 59",6235.0
Fc1cncc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 60",193.0
Fc1cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)cc(OC(F)(F)F)c1,"US20240293380, Compound 61",113.0
Fc1cc(F)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 62",69.0
CC(C)(C)NC(=O)C(N(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)C1=CCNC1)c1cc(F)cc(F)c1,"US20240293380, Compound 63",1027.0
CC(C)(C)NC(=O)C(N(C(=O)Cc1cncc2ccccc12)c1ccc(cc1)-c1c[nH]cn1)c1cc(F)cc(F)c1,"US20240293380, Compound 64",231.0
Fc1cc(F)cc(CN(C(=O)Cc2cncc(Br)c2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 65",187.0
Cc1cncc(CC(=O)N(Cc2cc(F)cc(F)c2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 66",103.0
Fc1cc(F)cc(CN(C(=O)Cc2cncc(c2)C2CC2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 67",161.0
Fc1cncc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2=CCNC2)c1,"US20240293380, Compound 68",608.0
Fc1cncc(CC(=O)N(Cc2cc(F)cc(Cl)c2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 69",220.0
Cc1cncc(CC(=O)N(Cc2cc(F)cc(Cl)c2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 70",84.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cncc(c2)C2CC2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 71",115.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cncc3ccccc23)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 72",56.0
Fc1cc(Cl)cc(CN(C(=O)Cc2nncc3ccccc23)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 73",61.0
NCc1ccc(cc1)N(Cc1cc(F)cc(F)c1)C(=O)Cc1cncc2ccccc12,"US20240293380, Compound 74",76.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cnccc2C(F)(F)F)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 75",1001.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cnccc2Cl)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 76",311.0
Cc1ccncc1CC(=O)N(Cc1cc(F)cc(Cl)c1)c1ccc(cc1)-c1c[nH]cn1,"US20240293380, Compound 77",136.0
COc1ccncc1CC(=O)N(Cc1cc(F)cc(Cl)c1)c1ccc(cc1)-c1c[nH]cn1,"US20240293380, Compound 78",222.0
Fc1cc(Cl)cc(CN(C(=O)Cc2cncc(c2)C2CC2)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 79",112.0
Cc1cncc(CC(=O)N(Cc2cc(F)cc(Cl)c2)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 80",110.0
Fc1cncc(CN(C(=O)Cc2cncc(F)c2)c2ccc(cc2)-c2c[nH]cn2)c1,"US20240293380, Compound 81",1309.0
Fc1cc(Cl)cc(CN(C(=O)Cc2nncc3ccccc23)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 82",70.0
Fc1cncc(CN(C(=O)Cc2cncc(F)c2)c2ccc(cc2)C2CNC2)c1,"US20240293380, Compound 83",5225.0
